Optimal Field,Multiple,Empty Fields,Heighest in the Edge,Left Column,Lost Situation,32,64,128,256,512,1024,2048,4096,8192
1.9000001,0.5,1.5,0.0,0.0,1.5,0,0,0,0,2,13,5,0,0,
1.9000001,0.5,1.5,0.0,0.0,2.0,0,0,0,0,4,11,5,0,0,
1.9000001,0.5,1.5,0.0,0.0,2.5,0,0,0,0,3,10,7,0,0,
1.9000001,0.5,1.5,0.0,0.0,3.0,0,0,0,1,5,11,3,0,0,
1.9000001,0.5,2.0,0.0,0.0,1.0,0,0,0,0,3,14,3,0,0,
1.9000001,0.5,2.0,0.0,0.0,1.5,0,0,0,0,5,12,3,0,0,
1.9000001,0.5,2.0,0.0,0.0,2.0,0,0,0,0,5,9,6,0,0,
1.9000001,0.5,2.0,0.0,0.0,2.5,0,0,0,0,3,11,6,0,0,
1.9000001,0.5,2.0,0.0,0.0,3.0,0,0,0,0,2,9,9,0,0,
1.9000001,0.5,2.5,0.0,0.0,1.0,0,0,0,1,6,8,5,0,0,
1.9000001,0.5,2.5,0.0,0.0,1.5,0,0,0,1,3,13,3,0,0,
1.9000001,0.5,2.5,0.0,0.0,2.0,0,0,0,1,5,9,5,0,0,
1.9000001,0.5,2.5,0.0,0.0,2.5,0,0,0,0,2,10,8,0,0,
1.9000001,0.5,2.5,0.0,0.0,3.0,0,0,0,0,3,12,5,0,0,
1.9000001,0.5,3.0,0.0,0.0,1.0,0,0,0,0,1,11,8,0,0,
1.9000001,0.5,3.0,0.0,0.0,1.5,0,0,0,1,3,10,6,0,0,
1.9000001,0.5,3.0,0.0,0.0,2.0,0,0,0,0,3,11,5,1,0,
1.9000001,0.5,3.0,0.0,0.0,2.5,0,0,0,0,5,13,2,0,0,
1.9000001,0.5,3.0,0.0,0.0,3.0,0,0,1,0,5,9,5,0,0,
1.9000001,0.6,1.5,0.0,0.0,1.0,0,0,0,0,4,10,6,0,0,
1.9000001,0.6,1.5,0.0,0.0,1.5,0,0,0,1,4,11,4,0,0,
1.9000001,0.6,1.5,0.0,0.0,2.0,0,0,0,2,2,11,4,1,0,
1.9000001,0.6,1.5,0.0,0.0,2.5,0,0,0,1,5,12,2,0,0,
1.9000001,0.6,1.5,0.0,0.0,3.0,0,0,0,2,3,9,6,0,0,
1.9000001,0.6,2.0,0.0,0.0,1.0,0,0,0,1,4,11,3,1,0,
